field,fieldname_eu,fieldname_es,fieldname_en
INSPIREID,INSPIRE identifikadorea,Identificador INSPIRE,INSPIRE identifier
NAME,Izena,Nombre,Name
LANG,Hizkuntza,Idioma,Language
STATUS,Egoera,Estado,Status
LOCALTYPE,Tokiko mota,Tipo local,Local type
TYPEVALUE,Mota balioa,Valor de tipo,Type value
CLASS,Klasea,Clase,Class
