field,fieldname_eu,fieldname_es,fieldname_en
INSPIREID,Administrazio-unitatearen INSPIRE identifikatzailea,Identificador INSPIRE de la unidad administrativa,Administrative unit INSPIRE identifier
NAME,Administrazio-unitatearen izena,Nombre de la unidad administrativa,Administrative unit name
NLEVELNAME,Administrazio-unitatearen mailaren izena,Nombre del nivel de la unidad administrativa,Administrative unit level name
IDNOMBRE,Izenaren identifikatzaile zenbakizkoa,Identificador numérico del nombre,Numerical name identifier
CODMUNI,Municipioko kodea,Código municipal,Municipal code
