INSPIREID,Helbidearen INSPIRE identifikatzailea,Identificador INSPIRE de la dirección,Address INSPIRE identifier
DIRPOS_E,Helbidea euskaraz,Dirección en euskera,Address in Basque
DIRPOS_C,Helbidea gaztelaniaz,Dirección en castellano,Address in Spanish
IDNOMBRE,Izenaren identifikatzaile zenbakizkoa,Identificador numérico del nombre,Numerical name identifier
NOMBRE_C,Izena gaztelaniaz,Nombre en castellano,Name in Spanish
NOMBRE_E,Izena euskaraz,Nombre en euskera,Name in Basque
PORTAL,Atari zenbakia,Número de portal,Portal number
