field,fieldname_eu
INSPIREID,Helbidearen INSPIRE identifikatzailea
DIRPOS_E,Helbidea euskaraz
DIRPOS_C,Helbidea gaztelaniaz
IDNOMBRE,Izenaren identifikatzaile zenbakizkoa
NOMBRE_C,Izena gaztelaniaz
NOMBRE_E,Izena euskaraz
PORTAL,Atari zenbakia
