field,fieldname_es
b5midut,Identificador del registro B5M
name,Valor de altitud
altimetry_value,Valor de altitud
type_eu,Tipo de altitud en euskera
type_es,Tipo de altitud en castellano
type_en,Tipo de altitud en inglés
geom,Geometría (punto)
