field,fieldname_eu
INSPIREID,INSPIRE identifikadorea
NAME,Izena
LANG,Hizkuntza
STATUS,Egoera
LOCALTYPE,Tokiko mota
TYPEVALUE,Mota balioa
CLASS,Klasea
