field,fieldname_eu
b5midut,B5M erregistroaren identifikadorea
name,Altuera balioa
altimetry_value,Altuera balioa
type_eu,Altuera mota euskaraz
type_es,Altuera mota gaztelaniaz
type_en,Altuera mota ingelesez
geom,Geometria (puntua)
