field,fieldname_eu
INSPIREID,Lursailaren INSPIRE identifikatzailea
LABEL,Etiketa edo erreferentzia-zenbakia
NCADASTREF,Kadastro erreferentzia-zenbakia
AREAVALUE,Azalera metro koadroetan
BEGINLIFES,Sorkuntza-data
URL_CADAST,Kadastroaren URLa
