field,fieldname_eu
INSPIREID,Administrazio-unitatearen INSPIRE identifikatzailea
NAME,Administrazio-unitatearen izena
NLEVELNAME,Administrazio-unitatearen mailaren izena
IDNOMBRE,Izenaren identifikatzaile zenbakizkoa
CODMUNI,Municipioko kodea
