field,fieldname_eu
b5midut,B5M erregistroaren identifikadorea
b5midutagr,B5M erregistro multzoaren identifikadorea
name,Gunearen izena
name_eu,Gunearen izena euskaraz
name_es,Gunearen izena gaztelaniaz
geom,Geometria (lerroa)
